,MSSubClass,MSZoning,LotFrontage,LotArea,Street,Alley,LotShape,LandContour,Utilities,LotConfig,LandSlope,Neighborhood,Condition1,Condition2,BldgType,HouseStyle,OverallQual,OverallCond,YearRemodAdd,RoofStyle,RoofMatl,Exterior1st,Exterior2nd,MasVnrType,MasVnrArea,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinSF1,BsmtFinType2,BsmtUnfSF,Heating,HeatingQC,CentralAir,Electrical,2ndFlrSF,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Functional,Fireplaces,FireplaceQu,GarageType,GarageFinish,GarageCars,GarageArea,GarageQual,GarageCond,PavedDrive,PoolArea,Fence,MiscFeature,SaleType,SaleCondition,GarageAge,SinceYearSold,HouseAge,TotalHouseSF,TotalPorchSF
1311,20,RL,68.0,8814,Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,Norm,1Fam,1Story,7,5,2007,Gable,CompShg,VinylSd,VinylSd,BrkFace,80.0,Gd,TA,PConc,Gd,TA,No,GLQ,925,Unf,349,GasA,Ex,Y,SBrkr,0,1,0,2,0,3,1,Gd,6,Typ,0,NA,Attchd,RFn,2,508,TA,TA,Y,0,NA,NA,New,Partial,19.0,17,19,3822,362
1296,20,RL,80.0,8700,Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,5,6,1963,Hip,CompShg,MetalSd,MetalSd,BrkFace,148.0,TA,Gd,CBlock,TA,TA,Mn,ALQ,776,Unf,344,GasA,Gd,Y,SBrkr,0,1,0,2,0,3,1,TA,6,Typ,0,NA,Attchd,RFn,2,525,TA,TA,Y,0,MnPrv,NA,WD,Normal,61.0,16,61,3376,335
1043,60,RL,86.0,11839,Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,SawyerW,Norm,Norm,1Fam,2Story,7,5,1990,Hip,CompShg,HdBoard,HdBoard,BrkFace,99.0,TA,TA,PConc,Gd,TA,No,GLQ,1085,Unf,390,GasA,Ex,Y,SBrkr,797,1,0,2,1,4,1,Gd,10,Typ,1,Ex,Attchd,Unf,2,514,TA,TA,Y,0,NA,NA,WD,Normal,34.0,16,34,5336,313
418,50,RL,60.0,8160,Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,Edwards,Norm,Norm,1Fam,1.5Fin,5,6,1950,Gable,CompShg,MetalSd,MetalSd,NA,0.0,TA,TA,BrkTil,TA,TA,No,ALQ,312,Unf,444,GasA,Fa,N,FuseF,378,1,0,1,1,3,1,TA,7,Typ,0,NA,Detchd,Unf,1,240,TA,TA,P,0,NA,NA,WD,AdjLand,84.0,17,84,2646,0
1173,50,RL,138.0,18030,Pave,NA,IR1,Bnk,AllPub,Inside,Gtl,ClearCr,Norm,Norm,1Fam,1.5Fin,5,6,1994,Gable,CompShg,MetalSd,MetalSd,NA,0.0,TA,TA,CBlock,TA,TA,No,Rec,152,BLQ,977,GasA,TA,Y,SBrkr,971,0,0,3,0,3,1,Ex,12,Maj1,1,Gd,NA,NA,0,0,NA,NA,Y,0,MnPrv,NA,WD,Normal,-1.0,17,78,6320,122
86,60,RL,122.0,11911,Pave,NA,IR2,Lvl,AllPub,Inside,Gtl,Gilbert,Norm,Norm,1Fam,2Story,6,5,2005,Gable,CompShg,VinylSd,VinylSd,NA,0.0,Gd,TA,PConc,Gd,TA,Av,Unf,0,Unf,684,GasA,Ex,Y,SBrkr,876,0,0,2,1,3,1,Gd,6,Typ,1,Gd,BuiltIn,Fin,2,400,TA,TA,Y,0,NA,NA,WD,Normal,19.0,15,19,2928,138
1387,50,RM,60.0,8520,Pave,Grvl,Reg,Lvl,AllPub,Inside,Gtl,OldTown,Artery,Norm,1Fam,1.5Fin,6,7,1950,Gable,CompShg,Stucco,Stucco,NA,0.0,TA,Gd,BrkTil,TA,TA,No,Rec,168,LwQ,0,GasW,TA,N,SBrkr,862,0,0,2,0,5,1,Gd,10,Typ,1,Gd,Detchd,Unf,1,216,TA,TA,Y,0,GdWo,NA,CWD,Family,108.0,17,108,4904,103
266,60,RL,70.0,11207,Pave,NA,IR1,HLS,AllPub,FR2,Gtl,Gilbert,Norm,Norm,1Fam,2Story,6,5,1997,Gable,CompShg,VinylSd,VinylSd,NA,0.0,TA,TA,PConc,Gd,TA,Av,GLQ,714,Unf,88,GasA,Gd,Y,SBrkr,709,1,0,2,1,3,1,TA,8,Typ,1,TA,Attchd,Fin,2,413,TA,TA,Y,0,NA,NA,WD,Normal,27.0,18,27,3115,170
496,20,RL,70.01929530201342,12692,Pave,NA,IR1,Lvl,AllPub,Inside,Gtl,NoRidge,Norm,Norm,1Fam,1Story,8,5,1993,Hip,CompShg,BrkFace,BrkFace,NA,0.0,Gd,TA,PConc,Gd,TA,No,GLQ,1231,Unf,1969,GasA,Ex,Y,SBrkr,0,1,0,3,0,4,1,Gd,10,Typ,1,Gd,Attchd,RFn,2,546,TA,TA,Y,0,NA,NA,WD,Normal,32.0,17,32,9656,630
1445,85,RL,70.0,8400,Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,Sawyer,Norm,Norm,1Fam,SFoyer,6,5,1966,Gable,CompShg,VinylSd,VinylSd,NA,0.0,TA,TA,CBlock,TA,TA,Gd,LwQ,187,Rec,0,GasA,Gd,Y,SBrkr,0,1,0,1,0,3,1,TA,6,Typ,0,NA,Detchd,Unf,1,240,TA,TA,Y,0,NA,NA,WD,Normal,34.0,17,58,2640,252
